vacillant|Empr. au lat. vacillare  « chanceler » au sens propre et fig. 
vintage|Empr. à l'angl. vintage , issu d'une forme altérée de l'a. fr. corresp. au fr. mod.  vendange * et désignant la récolte de raisin ou le vin d'une saison  puis un vin remarquable par sa qualité, spéc. en réf. à un âge ou à un millésime . Empl. en appos., il qualifie un vin millésimé de grande qualité, comme dans le syntagme  vintage Port  désignant un vin de  Porto . 
violence|Empr. au lat. violentia  « caractère violent, emporté », « force violence », dér. de  violentus , v.  violent . 
violent|Empr. au lat. violentus  « emporté  », « impétueux  », dér. de  vis  « force, vigueur ». 
virgule|Empr. au lat. class. virgula  « petite baguette, petite verge », à cause de la forme de la virgule. 
viride|Empr. au lat. class. viridis  « vert, verdoyant », dér. de  virere  « être vert ». 
violer|Empr. au lat. violare  « traiter avec violence », « violer », « profaner, outrager », dér. de  vis  « force, violence ». 
viridité|Empr. au lat. class. viriditas  « la verdure, le vert », dér. de  viridis , v.  viride .
vip|Empr. à l'angl. V.I.P., VIP , init. de  very important person  « personne très importante », att. sous les formes inv.  V.I.P.  puis  VIP  dep. 1933 et plus rarement  Vip , plur.  Vips , dep. 1945 ds  NED Suppl. <sup 2</sup 
vireuse|Empr. au lat. virosus  « d'odeur fétide, infect », dér. de  virus  .
viril|Empr. au lat. class. virilis  « d'homme, de mâle; fort, vigoureux », dér. de  vir  « homme ». 
vipère|Empr. au lat. vipera  « vipère, serpent », empl. aussi comme terme d'injure. La forme  vipère  a éliminé la forme  guivre *. 
vireux|Empr. au lat. virosus  « d'odeur fétide, infect », dér. de  virus  .
vipérin|Empr. au lat. viperinus  « de vipère; de serpent », dér. de  vipera  « vipère ». 
vipérine|Empr. au lat. viperinus  « de vipère; de serpent », dér. de  vipera  « vipère ». 
virgilien|Empr. au lat. d'époque impériale Virgilianus  « virgilien, de Virgile », dér. du nom de  Virgilius Maro , poète lat. ; le sens 1 est la trad. du lat.  Virgilianae sortes  « divination par les vers de Virgile » . 
virilité|Empr. au lat. d'époque impériale virilitas  « âge viril; sexe de l'homme, caractère mâle », dér. de  virilis , v.  viril . 
virginal|Empr. au lat. virginalis  « de vierge, de jeune fille ». 
virginale|Empr. au lat. virginalis  « de vierge, de jeune fille ». 
violoncelle|Empr. à l'ital. violoncello , att. comme nom d'un instrument de mus. à cordes dep. 1665 , dér., avec suff. dimin., de  violone  « contrebasse », lui-même dér., avec suff. augm., de  viola  « viole », empr. à l'a. prov.  viola  . 
virole|Empr. au lat. viriola  « sorte de bracelet », dér. de  viria , même sens, mot d'orig. celt. . 
virginité|Empr. au lat. virginitas, -atis  « état d'une personne vierge ». 
visigothe|Empr. au b. lat. Wisigothae, Wisigothi  , comp. de  Gothi  « Goths » et de  Visi  « Wisigoths », qui appartient à une famille i.-e. signifiant « bon, noble »; les Wisigoths sont les « Goths nobles ». Voir M.  Schönfeld ,  Wörterbuch der altgermanischen Personen- und Völkernamen , pp. 267-268. 
visiter|Empr. au lat. visitare  propr. « voir souvent », « visiter, venir voir quelqu'un »; dans la lang. chrét. « visiter [œuvre pie] » , «  visiter, apparaître pour secourir » , «  pour juger, éprouver, châtier » ; « visiter, inspecter » .  Cf.  la forme pop. a. fr.  visder  . 
viscère|Empr. au lat. viscera , plur. de  viscus, -eris  « parties internes du corps, intestins, entrailles ». 
virtuel|Empr. au lat. médiév. et scolast. virtualis  « virtuel, potentiel » , dér. du lat. class.  virtus  . En angl.  virtual  est att. dès 1398 sous la forme  vertual  ; en opt. 1704  virtual focus , 1831  virtual image  ; en phys. atom. 1931  virtual level et en informat. 1959  virtual memory  . 
viscose|Empr. à l'angl. viscose  , mot créé en 1892 par les chimistes angl. Ch. F. Cross et E.-J. Bevan, inventeurs de cette substance , à partir du rad. du lat.  viscum  « gui »  ou de l'angl.  viscous  « visqueux »; suff.  -ose  .
vision|Empr. au lat. visio  « action de voir, vue », « ce qui se présente à la vue, image, simulacre des choses », « action de voir par l'esprit, de concevoir », « idée perçue, conception, point de vue ». 
virtuose|Empr. à l'ital. virtuoso  « celui qui connaît parfaitement un art, une science, etc., et qui en use avec une absolue maîtrise » , d'abord adj. « qui pratique le bien, la vertu » , dér. de  virtù  « vertu », empr. au lat.  virtus, -utis  .  Cf.  la forme ital.  virtuoso , att. en fr. de 1654  à 1755 . 
viscosité|Empr. au lat. médiév. viscositas  « état de ce qui est visqueux », dér. du b. lat.  viscosus  . Au sens A 2 et 3,  cf.  angl.  viscosity  . 
visqueux|Empr. au b. lat. viscosus  « englué, enduit de glu; visqueux, gluant », dér. de  viscum  « gui ». 
virulence|Empr. au b. lat. et lat. chrét. virulentia  « mauvaise odeur, infection »; fig. « poison  » , dér. de  virulentus  . Au sens 2,  cf.  angl.  virulency  ,  virulence  . 
virulent|Empr. au b. lat. virulentus  « venimeux  » et au fig. « corrosif, virulent  » dér. de  virus  . Au sens 2 b et c, prob. empr. à l'angl.  virulent , att. dans ces sens dep. le déb. du  xvii <sup e</sup s. . 
visualisation|Empr. à l'angl. visualization  ; v.  Rey - Gagnon Anglic.  1981. 
visibilité|Empr. au b. lat. visibilitas  « qualité d'une chose visible », du lat.  visibilis  . 
visualiser|Empr. à l'angl. to visualize  , de  visual  « visuel » . 
visible|Empr. au lat. visibilis  « visible », « qui a la faculté de voir ». 
visuel|Empr. au b. lat. visualis  « de la vue, visuel », du lat.  visum , supin de  videre  « voir » . 
visitation|Empr. au lat. visitatio, -onis  « apparition, manifestation »; dans la lang. chrét. « visite  » déb.  iii <sup e</sup s.,  Tertullien ; « visite de Dieu, pour juger, punir »  iv <sup e</sup s.,  St Jérôme ; spéc. « visite des malades [acte de charité] » ; « visite, inspection » ; au bas Moy. Âge  Visitatio Beatae Virginis Mariae  désignant la fête liturg. . 
visigoth|Empr. au b. lat. Wisigothae, Wisigothi  , comp. de  Gothi  « Goths » et de  Visi  « Wisigoths », qui appartient à une famille i.-e. signifiant « bon, noble »; les Wisigoths sont les « Goths nobles ». Voir M.  Schönfeld ,  Wörterbuch der altgermanischen Personen- und Völkernamen , pp. 267-268. 
vital|Empr. au lat. vitalis  «  id.  », dér. de  vita  « vie »;  cf.  l'a. fr.  vial  « vital, de la vie »  ca  1200 . 
vitupérant|Empr. au lat. vituperare « reprendre, critiquer, blâmer ». 
vitupération|Empr. au lat. vituperatio, -onis  « blâme, reproche ».
vitex|Empr. par les botanistes au lat. vitex  « gattilier », parce que les rameaux de cette plante sont aussi ployants que l'osier.  Cf.  la forme pop.  veze  « osier » conservée en occit. , m. fr.  vege  .
vitalité|Empr. au lat. vitalitas, -atis  «  id.  », dér. de  vitalis , v.  vital . 
vitupère|Empr. au lat. vituperare « reprendre, critiquer, blâmer ». 
vitamine|Empr. au terme vitamine  proposé en angl. par le biochimiste amér. d'orig. polon. C.  Funk  en 1912 , formé du lat.  vita  « vie » et de  amine , C. Funk croyant pouvoir classer ce type de substance parmi les  amines *. Le terme angl. fut ensuite corr. en  vitamin  pour qu'il soit plus conforme à la nomencl. chim. dans cette lang. . 
vitupérer|Empr. au lat. vituperare « reprendre, critiquer, blâmer ». 
vitriol|Empr. au lat. médiév. vitriolum , dér. de  vitrum  « verre », à cause de l'apparence vitreuse de ces sels. 
vivace|Empr. au lat. vivax, -acis , « qui vit longtemps ; animé, vif, bouillant ». 
vivacité|Empr. au lat. vivacitas, -atis  « force de vie, longue vie; durée »; à basse époque « vitalité de l'âme » , « vivacité de l'esprit, de la pensée » , « activité énergique  » . 
vitchoura|Empr. au polon. wilczura  « fourrure de loup ». 
vitre|Empr. au lat. vitrum  « verre  ». 
vitré|Empr. au lat. vitreus  « de verre, clair ou transparent comme du verre ». 
vocation|Empr. au lat. vocatio, -onis  « action d'appeler », « invitation » d'où en b. lat. eccl. « appel fait par Dieu »  vi <sup e</sup s. ds  Blaise Lat. chrét. , « invitation de Dieu à la foi »  i <sup er</sup s.,  ibid. , « appel à tel genre de vie, état »  iv <sup e</sup s.,  ibid.  formé sur le supin  vocatum  de  vocare  « appeler », dér. de  vox, vocis  « voix ». 
viverridés|Empr. au lat. sc. viverridae dér. de  viverra  « le furet » , lat. class.  viverra  de même sens .
vizir|Empr. au turc vezir  « vizir, ministre », et celui-ci à l'ar.  wazīr , mêmes sens. 
vocero|Empr. au corse voceru  « chant funèbre », dér. de  voce  .
vocable|Empr. au lat. vocabulum, -i  « mot », dér. de  vocare  « appeler », de  vox, vocis  « voix ». 
vivificateur|Empr. au lat. chrét. vivificator  « celui qui vivifie », empl. en partic. à propos du Saint Esprit . 
vocabulaire|Empr. au lat. médiév. vocabularium, -ii xiv <sup e</sup s. , dér. du class.  vocabulum , v.  vocable . 
vocifération|Empr. au lat. vociferatio, -onis  «  id.  », formé sur le supin  vociferatum  de  vocifere , v.  vociférer . 
vivification|Empr. au lat. chrét. vivificatio  « action de ressusciter; régénération; action de vivifier » . 
vivifier|Empr. au b. lat. vivificare  terme empl. par les aut. chrét. au sens propre « donner la vie » et au sens théol. « donner la vie de l'âme; ressusciter » . 
vociférer|Empr. au lat. vociferare  «  id.  », comp. de  vox, vocis  « voix » et  fere  « porter ». 
vivipare|Empr. au lat. viviparus  de mêmesens . 
vocatif|Empr. au lat. gramm. vocativus  «  id.  », formé sur le supin  vocatum  de  vocare  « appeler », dér. de  vox, vocis  « voix ».
volcan|Empr. à l'esp. volc n , att. au sens 1 à propos de l'Amérique , dep. le  xiii <sup e</sup s. à propos de la Sicile  et issu, par l'intermédiaire de l'ar.  burkān  , du lat.  Vulcanus , nom du dieu romain du feu et nom d'une des Îles Lipari , archipel volcanique au large de la Sicile. Le passage par l'ar. explique l'absence de  -o  final de la forme esp.;  Cor. - Pasc.  veut expliquer celle-ci par un empr. de l'esp. au port. mais le mot est beaucoup moins anc. en port. qu'en esp. et l'explication phonét. n'est pas satisfaisante . Le m. fr.  vulcan , att. une seule fois au  xiv <sup e</sup s. , se rapporte à la Sicile et est issu directement du lat. Voir P.  Aebischer  ds  Z. rom. Philol.  t. 67, pp. 298-318; R.  Arveiller  ds  Fr. mod.  t. 18, pp. 245-246; M.  Piron  ds  Romanica Gandensia  t. 4, pp. 193-208;  FEW  t. 14, pp. 639-640. 
volcanologie|Empr. à l'angl. vulcanology  ,  volcanology  , dér., à l'aide du suff.  -logy  , de  vulcan, volcan  « volcan ».
volcanologique|Empr. à l'angl. vulcanological  , dér. de  vulcanology  ; 2 représente une adapt. d'apr.  volcan * et ses dérivés.
volitif|Empr. au lat. médiév. volitivus  , dér. de  volitio  .  Cf.  l'ital.  volitivo et l'angl.  volitive  « relatif à la volition » , subst. ling. , adj. ling. .
volition|Empr. au lat. médiév. volitio , même sens , dér. sav. du rad.  vol-  de  voluntas ou  volo , 1<sup re</sup pers. du sing. de l'ind. prés. de  velle  « vouloir ». 
volatil|Empr. au lat. class. volatilis  « qui vole, ailé », au fig. « rapide, éphémère », dér. de  volare , v.  voler . 
volatile|Empr. au lat. class. volatilis  « qui vole, ailé », au fig. « rapide, éphémère », dér. de  volare , v.  voler . 
volkaméria|Empr. au lat. sc. Volckameria  , formé sur le nom du botaniste all. J. G. Volckamer [1616-1693]. 
volkameria|Empr. au lat. sc. Volckameria  , formé sur le nom du botaniste all. J. G. Volckamer [1616-1693]. 
volkamérie|Empr. au lat. sc. Volckameria  , formé sur le nom du botaniste all. J. G. Volckamer [1616-1693]. 
volley|Empr. à l'angl. volley-ball  , comp. de  ball  « ballon » et de  volley  issu du fr.  volée *, nom donné à ce jeu par son créateur, le maître de culture physique amér. W. G. Morgan en 1895 qui en publia les règles en 1897 . 
volume|Empr. au lat. volumen  « chose enroulée », « rouleau d'un manuscrit », « livre, ouvrage », « partie d'un ouvrage, tome ». 
volva|Empr. au lat. volva ou  vulva  « enveloppe  ».  Cf.  1783  volva  n. m. .
volontaire|Empr. au lat. voluntarius  «  qui agit librement, volontairement », spéc.  auxiliaria voluntaria  « contingents volontaires »;  voluntarii  subst. plur. « soldats volontaires » ; «  fait volontairement ». 
volte|Empr. à l'ital. volta  « action de tourner ou de se tourner » , déverbal de  voltare  . 
volvaire|Empr. au lat. sc. mod. volvaria , mêmes sens, dér. du lat.  volva  « enveloppe » .  Cf.  pour le sens 2 b lat. sc.  volvaria  att. ds  De Vries ,  Epicrisis , 1836-38 d'apr.  Léveillé  .
volter|Empr. à l'ital. voltare  « changer de direction » , « se tourner ou tourner une partie du corps » , issu d'un lat. vulg. * voltare , itér. du class.  volvere  « tourner ». 
volve|Empr. au lat. volva ou  vulva  « enveloppe  ».  Cf.  1783  volva  n. m. .
volvoce|Empr. au lat. sc. volvox globator  « chenille enrouleuse » .
voltiger|Empr. à l'ital. volteggiare , att. au sens A dep. av. 1470 , au sens de « voleter » dep. av. 1484  et comme terme d'équit. et d'escr. dep. le  xvi <sup e</sup s. , dér. de  voltare  . 
volubile|Empr. au lat. volubilis  « qui tourne aisément » d'où « rapide  ». 
volupté|Empr. au lat. voluptas, -atis  « plaisir, volupté » . 
vomique|Empr. au lat. médiév. vomica nux , formé du lat. class.  nux  « noix » et de  vomicus  « qui fait vomir », cette baie ayant des propriétés vomitives;  cf.  1555  la noix vomitique, ou vomitoire  . 
voluptuaire|Empr. au lat. voluptarius  « qui cause du plaisir » ; « concernant le plaisir; voluptueux », b. lat.  voluptuarius  «  id.  » .
volubilité|Empr. au lat. volubilitas  « mouvement giratoire, rotation », « rapidité, facilité de parole », « inconstance de la fortune », de  volubilis  . 
voluptueux|Empr. au lat. voluptuosus  « agréable, qui charme, qui plaît ». 
volucelle|Empr. au lat. sc. des zoologistes volucella  «  id.  », , dér. sav. du lat.  volucer  « ailé, volant, léger », avec suff. diminutif.
volute|Empr. à l'ital. voluta , att. comme terme d'archit. dep. av. 1452 , lui-même empr. au lat.  voluta , terme d'archit. , part. passé fém. subst. de  volvere  « rouler, enrouler ». 
volucre|Empr. au lat. volucris  « oiseau », empl. subst. de l'adj.  volucer, -cris  « qui vole, ailé », de  volare , v.  voler .
voter|Empr. à l'angl. to vote  d'abord « vouer, jurer »  puis intrans. au sens A 1  et trans. au sens B 1 , v.  NED , soit formé sur le rad. du supin du lat.  vovere  « faire un vœu, promettre par un vœu, vouer », rad. de  votum  , soit empr. au lat. médiév. de même formation  votare  « vouer, consacrer à un saint »  et « faire vœu, s'engager »  corresp. au fr.  voter  d'usage eccl. . 
votif|Empr. au lat. votivus  « promis par vœu » , spéc., dans la lang. chrét. « fait en vertu d'un vœu, à une intention particulière, consacré » .  Fête votive , en usage dans le Midi, est à rapprocher de l'occit.  voto  « fête patronale » , se rattachant au lat.  votum , v.  vœu . 
vomitoire|Empr. au lat. vomitorium , empl. le plus souvent au plur.  vomitoria  « portes de l'amphithéâtre conduisant aux gradins et offrant un dégagement à la foule ».  Cf.  l'adj.  vomitoire  « qui provoque le vomissement » , empr. au lat.  vomitorius , de même sens, dér. de  vomitum , supin de  vomire  . 
vorace|Empr. au lat. vorax  « insatiable, avide » , de  vorare  « dévorer, engloutir ». 
voracité|Empr. au lat. voracitas  « appétit insatiable ». 
vorticelle|Empr. au lat. sc. vorticella  , dér. du lat.  vortex, -icis p. allus. aux tourbillons produits par la couronne de cils de cette infusoire.
vote|Empr. à l'angl. vote , du lat.  votum  , att. dep.  ca  1460 au sens de « suffrage, expression selon une forme déterminée d'une position ou d'une décision sur une question mise au débat » d'où « décision, position prise par une assemblée ou un groupe de personnes s'exprimant par le suffrage » , ces empl. correspondent à ceux de  votum  en lat. médiév. chez les ecclésiastiques . 
vulturin|Empr. au lat. d'époque impériale vulturinus  « de vautour », dér. de  vultur , v.  vautour .
vulvaire|Empr. au lat. sc. vulvaria , dér. du lat. class.  vulva , v.  vulve , cette plante ayant été empl. en gynécologie.
vulve|Empr. au lat. class. vulva  « vulve, matrice »; 2 p. anal. de forme. 
vrac|Empr. au néerl. wrac  «  de rebut, endommagées ». 
vulgarité|Empr. au lat. tardif vulgaritas  « qualité de ce qui est commun », « la généralité , le commun », dér. de  vulgaris  . Les sens mod. 2 et 3 sont prob. dér. de  vulgaire *. 
vulgate|Empr. au lat. chrét. vulgata  , en parlant de la trad. cour. des Septante ou de sa trad. lat., chez  St Augustin  et  St Jérôme ; le sens mod., à partir du Concile de Trente .  Vulgata , fém. de  vulgatus , part. passé adj. de  vulgare  « répandre dans le public », « rendre accessible », dér. de  vulgus  « le commun des hommes, la foule ». 
vulgivague|Empr. au lat. vulgivagus « qui erre partout, vagabond » adj. donné à Vénus . 
vulnérable|Empr. au lat. tardif vulnerabilis  « qui peut être blessé », « qui blesse », dér. de  vulnerare  , avec peut-être l'infl. de l'angl.  vulnerable  « qui peut être blessé » , empr. lui aussi au latin. 
vulnéraire|Empr. au lat. vulnerarius  « relatif aux blessures », dér. de  vulnerare  « blesser ». 
vulcanisation|Empr. à l'angl. vulcanization , terme empl. par Th. Hancock [1786-1865] dans le brevet déposé en 1846 à la suite du procédé découvert par Ch. Goodyear [1800-1860] en 1839  et dér. de  to vulcanize  . 
vulnérant|Empr. au lat. vulnerare  « blesser » , dér. de  vulnus  « blessure, plaie », au fig. « atteinte ».
vulnérer|Empr. au lat. vulnerare  « blesser » , dér. de  vulnus  « blessure, plaie », au fig. « atteinte ».
vulpin|Empr. au lat. d'époque impériale vulpinus  « de renard », dér. de  vulpes  « renard ». B cette plante est appelée communément  queue-de-renard . 
vulgaire|Empr. au lat. vulgaris  « qui concerne la foule »; « général, ordinaire, commun, banal », dér. de  vulgus  « le commun des hommes, la foule ». On rencontre en a. et m. fr. la forme  vulgal , due à une forme lat. * vulgalis  issue de  vulgaris  par changement de suff. 
vultueux|Empr. au lat. class. vultuosus  « trop plein de jeux de physionomie, affecté » dér. de  vultus  « expression, air du visage, visage; jeux de physionomie ».
